"","i","mean_dist_to_grocery","median_dist_to_grocery","max_dist_to_grocery","min_dist_to_grocery","quartiles_dist_to_grocery_25p","quartiles_dist_to_grocery_50p","quartiles_dist_to_grocery_75p","n_from_pnts","n_from_pnts_no_path"
"432",432,655.543489578715,655.248461366308,1157.95662735589,53.4329294801873,507.207869219425,655.248461366308,843.21379928219,64,0
"433",433,827.120127798736,842.092655301084,1146.70038119196,430.92923309206,746.333992104156,842.092655301084,938.315099843288,44,0
"434",434,1299.86789897442,1287.95079242121,1630.42836201332,945.422034042985,1217.83305918074,1287.95079242121,1430.16221310157,32,0
"435",435,2525.62786191642,2548.72729651852,3134.53407862886,1786.22137952417,2297.31403936832,2548.72729651852,2792.28817829147,67,0
"436",436,1639.11159701048,1651.64689661104,4854.05044617694,260.236390359057,1358.49063503685,1651.64689661104,1864.23621987539,262,0
"437",437,1694.30506238711,1732.92500372041,2562.42061138755,897.062606457554,1416.70280977081,1732.92500372041,1978.52585448494,164,0
"438",438,1163.0821600502,1180.83211514051,2606.19097762622,349.202872865676,930.650421196514,1180.83211514051,1386.16135047278,132,2
"439",439,900.434128506698,940.70707445429,1317.63806342612,203.604848782978,741.462730187756,940.70707445429,1080.51477162286,80,0
"440",440,1823.16988165888,1858.05165658697,2460.56822817837,962.528757858392,1590.77664437885,1858.05165658697,2052.81767592611,96,0
"441",441,613.57371833206,579.569933865986,1141.74175094499,64.1508359921825,409.662560628376,579.569933865986,779.533927986492,47,0
"442",442,965.555113340354,969.500413346969,1404.98951504589,438.456180293231,772.063501233592,969.500413346969,1165.95796275372,40,0
"443",443,756.483515259309,780.353840452708,1382.07939465838,52.6942740603044,532.725460286449,780.353840452708,987.378519202923,83,0
"444",444,906.117125826081,873.599565924108,1198.99630327938,660.199499059274,770.252463507135,873.599565924108,1006.89406503718,16,0
"445",445,438.607541473424,447.334872871132,658.761845738324,260.378820579004,391.923632910822,447.334872871132,502.321498409315,20,0
"446",446,667.841296424887,648.955396892672,1162.70365734753,197.090344810963,457.071634619149,648.955396892672,879.52411514063,44,0
"447",447,2093.86810878148,2089.05636645204,3169.13888808431,1041.97419755111,1726.58132212872,2089.05636645204,2486.12161609212,128,0
"448",448,357.405092183202,329.36774420939,759.607893062807,78.7484742647271,253.333606818746,329.36774420939,430.629940372949,32,0
"449",449,1221.6816672278,1253.64310455544,1497.36732169588,908.547937631864,1089.31849381028,1253.64310455544,1312.92136803694,32,0
